構想区域人口,手術総数,救急車の受入件数,施設全体_医師_常勤,新規入棟患者数のうち施設からの入院の割合,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,病床利用率,平均存棟日数,院内総病床数,病床数の全体に占める割合,構想区域人口あたりの医師数,構想区域内の救急車受入数の最大割合
560644,5.0,60,7,4.730831973898858,8.97226753670473,4.477611940298507,76.29223744292237,20.359057676685623,105,42.857142857142854,4.220681930066139,11.552286215832149
1407697,918.0,1083,25,3.513371788148925,2.5170424750917673,6.77344010677344,83.67387357649777,13.334560757496055,129,64.34108527131784,1.1160782469522914,18.822195727381118
112646,134.0,126,8,13.532763532763534,19.65811965811966,5.283381364073007,91.02739726027397,28.037974683544302,172,34.883720930232556,0.9853878522095769,42.39798770262716
233055,0.0,130,8,6.513409961685824,13.793103448275861,3.094059405940594,763.299086757991,253.5165876777251,96,50.0,0.9602883439531442,32.00323537341602
1475635,309.0,505,3,1.1286681715575622,2.2573363431151243,13.544018058690746,32.70058708414873,11.277840269966255,42,100.0,1.4362630325249808,11.383744470270676
1366912,671.0,341,5,8.406524466750314,5.018820577164367,8.657465495608532,90.19691780821918,13.193487789605511,32,100.0,1.1271391281955239,17.221327822764735
125011,83.0,531,9,10.568295114656031,4.087736789631107,12.073784237003911,68.26198630136986,7.917576961271102,131,24.427480916030532,1.0807048979689786,21.654778887303852
1155470,257.0,0,13,13.238593866866118,29.917726252804787,0.0,78.95392278953923,21.378793555638815,142,69.71830985915494,3.779068257938328,4.6812581991063595
793673,5.0,236,0,4.733727810650888,15.581854043392504,11.834319526627219,49.90286425902865,19.876984126984127,55,100.0,1.1545056969305998,18.693504799179948
1540389,760.0,30,9,0.0,0.46029919447640966,27.963176064441885,36.36108184053389,5.922196796338673,78,100.0,1.7206692595182127,10.48794255072282
246143,707.0,404,16,7.043756670224119,19.903948772678763,6.8426197458455515,84.48664044486641,16.642265562383116,184,54.891304347826086,2.6179903552000257,23.899448191293686
697598,2102.0,60,9,0.6429652042360061,0.37821482602118006,2.26928895612708,12.095890410958905,0.9984922728986053,60,100.0,2.2776728144289407,33.02686136650442
172911,15.0,111,0,8.29310124164163,17.59289694723542,9.024316400220012,89.1891891891892,17.78386165132683,37,100.0,0.9027765729190161,33.02544440571628
484282,4746.0,7669,181,2.364382583868665,15.729835831548893,13.229418715885433,78.86097687607332,8.786934852260591,527,65.0853889943074,1.1326045568491085,45.275545350172216
1285373,118.0,73,13,0.17513134851138354,1.138353765323993,2.715915263443781,97.11154598825831,10.500211595429539,44,79.54545454545455,3.1733201179735375,13.713305916175694
